|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 1151 |01 36 39|-01 22.7|    15.1|E-S0       |      1151|MCG+00-05-015|   ELLIPTICAL GALAXY|
|UGC 4349 |08 20 32|-01 22.5|    15.1|SB?b-c     |      4349|MCG+00-22-001|SPIRAL GALAXY BARRED|
|UGC 2973 |04 09 56|-01 22.2|    15.3|Sa-b       |      2973|MCG+00-11-022|       SPIRAL GALAXY|
|UGC 10474|16 37 53|-01 21.9|    15.1|S          |     10474|MCG+00-42-007|              GALAXY|
|UGC 595  |00 57 39|-01 21.8|    14.8|COMPACT    |       595|MCG+00-03-041|              GALAXY|
|UGC 8939 |14 02 04|-01 21.4|    14.8|Sb         |      8939|MCG+00-36-012|       SPIRAL GALAXY|
|UGC 7869 |12 42 34|-01 21.4|    14.3|IRR        |      7869|MCG+00-32-037|    IRREGULAR GALAXY|
|UGC 1004 |01 25 45|-01 21.4|    14.0|E          |      1004|MCG+00-04-137|   ELLIPTICAL GALAXY|
|UGC 11558|20 26 05|-01 21.1|    16.0|           |     11558|MCG+00-52-000|              GALAXY|
|UGC 9829 |15 23 05|-01 20.6|    15.3|S          |      9829|MCG+00-39-023|              GALAXY|
|UGC 1945 |02 28 15|-01 20.6|    14.4|Sc-IRR     |      1945|MCG+00-07-020|       SPIRAL GALAXY|
|UGC 1009 |01 26 03|-01 20.4|    13.4|E          |      1009|MCG+00-04-143|   ELLIPTICAL GALAXY|
